ID,Name,Glottocode,Latitude,Longitude,ChineseName,DialectGroup
Eryuan,Eryuan,eryu1239,26.538056,99.910000,剑川,CentralBai
Heqing,Heqing,heqi1238,26.0991374,99.9416161,洱源,CentralBai
Jianchuan,Jianchuan,jian1239,26.5536208,100.1396921,鹤庆,CentralBai
Lanping,Lanping,lanp1241,26.5158555,99.2581092,兰坪,CentralBai
Luobenzhuo,Luobenzhuo,nuji1238,26.4240223,98.8862088,洛本卓,NorthernBai
Qiliqiao,Qiliqiao,qili1234,25.6553283,100.1709288,七里桥,SouthernBai
Xiangyun,Xiangyun,xian1250,25.5313657,100.4478932,祥云,SouthernBai
Yunlong,Yunlong,yunl1238,25.9223745,99.0352884,云龙,CentralBai
Zhoucheng,Zhoucheng,zhou1234,25.8958633,100.0987848,周城,SouthernBai
